iter	Passed	Remaining
455	848	1012
456	849	1009
457	851	1007
458	853	1005
459	854	1003
460	856	1001
461	857	998
462	858	995
463	863	996
464	864	994
465	866	992
466	867	990
467	869	988
468	870	985
469	904	1019
470	906	1017
471	917	1026
472	919	1024
473	920	1021
474	930	1028
475	931	1025
476	932	1022
477	934	1020
478	936	1018
479	937	1016
480	945	1019
481	947	1017
482	948	1015
483	949	1012
484	950	1009
485	957	1013
486	962	1014
487	964	1011
488	967	1011
489	969	1008
490	996	1032
491	1012	1045
492	1014	1042
493	1015	1040
494	1017	1037
495	1024	1040
496	1025	1038
497	1027	1035
498	1028	1032
499	1030	1030
500	1031	1027
501	1032	1024
502	1040	1028
503	1042	1025
504	1043	1022
505	1044	1019
506	1045	1017
507	1047	1014
508	1048	1011
509	1052	1011
510	1054	1008
511	1055	1005
512	1056	1003
513	1057	1000
514	1070	1008
515	1072	1005
516	1073	1002
517	1074	999
518	1076	997
519	1077	994
520	1078	991
521	1080	988
522	1085	990
523	1087	987
524	1088	984
525	1089	982
526	1093	981
527	1094	978
528	1095	975
529	1100	975
530	1101	972
531	1102	969
532	1104	967
533	1106	965
534	1107	962
535	1116	966
536	1124	969
537	1125	966
538	1127	964
539	1132	964
540	1133	961
541	1134	958
542	1136	956
543	1137	953
544	1150	960
545	1151	957
546	1153	954
547	1154	952
548	1156	949
549	1157	946
550	1158	944
551	1159	941
552	1161	938
553	1166	939
554	1167	936
555	1169	933
556	1171	932
557	1173	929
558	1205	950
559	1206	948
560	1207	945
561	1208	942
562	1209	939
563	1215	939
564	1216	936
565	1218	934
566	1219	931
567	1220	928
568	1222	925
569	1224	923
570	1228	922
571	1230	920
572	1231	918
573	1233	915
574	1234	912
575	1235	909
576	1237	907
577	1239	904
578	1242	903
579	1261	913
580	1263	911
581	1264	908
582	1266	905
583	1267	902
584	1269	900
585	1278	903
586	1279	900
587	1280	897
588	1282	895
589	1284	892
590	1287	891
591	1291	890
592	1293	888
593	1295	885
594	1297	882
595	1298	880
596	1309	884
597	1311	881
598	1323	885
599	1340	893
600	1341	890
601	1344	888
602	1345	885
603	1346	882
604	1348	880
605	1352	879
606	1354	877
607	1355	874
608	1356	871
609	1358	868
610	1361	866
611	1363	864
612	1364	861
613	1371	862
614	1372	859
615	1374	856
616	1375	853
617	1376	850
618	1377	848
619	1379	845
620	1382	843
621	1394	847
622	1395	844
623	1400	843
624	1401	840
625	1402	838
626	1403	834
627	1420	841
628	1421	838
629	1422	835
630	1423	832
631	1425	829
632	1426	827
633	1427	824
634	1434	824
635	1435	821
636	1436	818
637	1437	815
638	1439	812
639	1440	810
640	1441	807
641	1442	804
642	1447	803
643	1448	800
644	1457	802
645	1458	799
646	1464	798
647	1466	796
648	1467	793
649	1468	790
650	1470	788
651	1471	785
652	1473	782
653	1478	782
654	1479	779
655	1481	776
656	1482	773
657	1483	771
658	1484	768
659	1485	765
660	1487	762
661	1488	759
662	1489	757
663	1490	754
664	1492	751
665	1493	748
666	1494	746
667	1495	743
668	1507	745
669	1508	742
670	1509	740
671	1512	738
672	1514	735
673	1515	733
674	1522	733
675	1524	730
676	1526	728
677	1527	725
678	1528	722
679	1530	720
680	1536	719
681	1537	717
682	1539	714
683	1540	711
684	1542	709
685	1543	706
686	1544	703
687	1547	701
688	1551	700
689	1556	699
690	1557	696
691	1559	694
692	1561	691
693	1574	694
694	1576	691
695	1583	691
696	1585	689
697	1586	686
698	1588	683
699	1589	681
700	1590	678
701	1593	676
702	1599	675
703	1600	672
704	1601	670
705	1602	667
706	1604	664
707	1606	662
708	1608	660
709	1615	659
710	1616	657
711	1618	654
712	1619	651
713	1620	649
714	1634	651
715	1635	648
716	1637	646
717	1639	643
718	1640	641
719	1647	640
720	1648	638
721	1650	635
722	1651	632
723	1653	630
724	1654	627
725	1662	627
726	1663	624
727	1666	622
728	1667	620
729	1669	617
730	1670	614
731	1677	614
732	1679	611
733	1680	609
734	1682	606
735	1684	604
736	1685	601
737	1688	599
738	1690	597
739	1692	594
740	1693	592
741	1695	589
742	1697	587
743	1699	584
744	1700	582
745	1705	580
746	1709	579
747	1715	578
748	1717	575
749	1718	572
750	1720	570
751	1721	567
752	1723	565
753	1724	562
754	1725	560
755	1727	557
756	1728	554
757	1734	553
758	1736	551
759	1737	548
760	1739	546
761	1741	544
762	1743	541
763	1744	538
764	1750	537
765	1752	535
766	1753	532
767	1754	530
768	1756	527
769	1768	528
770	1770	525
771	1771	523
772	1772	520
773	1779	519
774	1781	517
775	1784	515
776	1785	512
777	1788	510
778	1789	507
779	1790	505
780	1793	502
781	1795	500
782	1796	497
783	1799	495
784	1800	493
785	1814	494
786	1819	492
787	1824	490
788	1826	488
789	1827	485
790	1833	484
791	1835	482
792	1839	480
793	1841	477
794	1842	475
795	1843	472
796	1845	470
797	1846	467
798	1848	464
799	1849	462
800	1851	460
801	1855	457
802	1857	455
803	1858	453
804	1860	450
805	1861	448
806	1863	445
807	1870	444
808	1871	441
809	1872	439
810	1874	436
811	1876	434
812	1878	432
813	1879	429
814	1885	427
815	1886	425
816	1887	422
817	1888	420
818	1889	417
819	1890	414
820	1891	412
821	1891	409
822	1893	407
823	1896	405
824	1898	402
825	1899	400
826	1900	397
827	1902	395
828	1903	392
829	1903	389
830	1904	387
831	1905	384
832	1907	382
833	1911	380
834	1915	378
835	1916	376
836	1917	373
837	1921	371
838	1922	368
839	1923	366
840	1928	364
841	1929	362
842	1931	359
843	1932	357
844	1933	354
845	1934	352
846	1935	349
847	1936	347
848	1937	344
849	1938	342
850	1941	339
851	1942	337
852	1943	334
853	1944	332
854	1945	329
855	1946	327
856	1948	325
857	1951	323
858	1956	321
859	1958	318
860	1959	316
861	1961	313
862	1962	311
863	1963	309
864	1965	306
865	1965	304
866	1966	301
867	1967	299
868	1968	296
869	1971	294
870	1972	292
871	1972	289
872	1974	287
873	1975	284
874	1976	282
875	1977	279
876	1978	277
877	1979	274
878	1979	272
879	1981	270
880	1982	267
881	1984	265
882	1985	263
883	1986	260
884	1987	258
885	1988	255
886	1989	253
887	1990	251
888	1991	248
889	1992	246
890	1994	243
891	1995	241
892	1998	239
893	2000	237
894	2001	234
895	2002	232
896	2002	229
897	2003	227
898	2005	225
899	2006	222
900	2007	220
901	2008	218
902	2009	215
903	2010	213
904	2012	211
905	2014	209
906	2016	206
907	2020	204
908	2021	202
909	2023	200
910	2024	197
911	2024	195
912	2025	193
913	2028	190
914	2030	188
915	2031	186
916	2032	183
917	2033	181
918	2034	179
919	2035	176
920	2035	174
921	2036	172
922	2037	169
923	2038	167
924	2039	165
925	2040	163
926	2041	160
927	2043	158
928	2044	156
929	2045	153
930	2046	151
931	2047	149
932	2048	147
933	2049	144
934	2050	142
935	2051	140
936	2052	137
937	2052	135
938	2053	133
939	2054	131
940	2057	129
941	2059	126
942	2060	124
943	2061	122
944	2062	120
945	2063	117
946	2064	115
947	2065	113
948	2066	111
949	2066	108
950	2067	106
951	2068	104
952	2069	102
953	2072	99
954	2073	97
955	2074	95
956	2075	93
957	2076	91
958	2077	88
959	2078	86
960	2079	84
961	2080	82
962	2081	79
963	2082	77
964	2082	75
965	2084	73
966	2088	71
967	2090	69
968	2091	66
969	2097	64
970	2098	62
971	2100	60
972	2108	58
973	2109	56
974	2109	54
975	2110	51
976	2111	49
977	2112	47
978	2113	45
979	2114	43
980	2115	40
981	2118	38
982	2120	36
983	2121	34
984	2122	32
985	2123	30
986	2124	27
987	2124	25
988	2125	23
989	2126	21
990	2127	19
991	2128	17
992	2129	15
993	2130	12
994	2131	10
995	2133	8
996	2134	6
997	2135	4
998	2136	2
999	2136	0
